# Tiempo(s), X(m), Y(m), Theta_Yaw(rad)
169.00,22.318,13.647,3.133347
170.00,21.326,13.655,3.133446
171.00,20.335,13.664,3.133551
172.00,19.343,13.671,3.133662
173.00,18.352,13.679,3.133779
174.00,17.361,13.687,3.133902
175.00,16.370,13.695,3.134031
176.00,15.380,13.702,3.134165
177.00,14.390,13.710,3.134305
178.00,13.400,13.717,3.134450
179.00,12.411,13.724,3.134601
180.00,11.421,13.731,3.134757
181.00,10.432,13.738,3.134919
182.00,9.443,13.744,3.135085
183.00,8.455,13.751,3.135256
184.00,7.466,13.757,3.135432
185.00,6.478,13.763,3.135612
186.00,5.490,13.769,1.557611
187.00,5.503,14.774,1.557433
188.00,5.517,15.779,1.557265
189.00,5.531,16.783,1.557109
190.00,5.544,17.787,1.556964
191.00,5.558,18.792,0.325145
192.00,5.572,18.796,0.004453
193.00,6.587,18.801,0.004246
194.00,7.603,18.805,0.004036
195.00,8.618,18.809,0.003823
196.00,9.634,18.813,0.003608
197.00,10.650,18.817,0.003390
198.00,11.665,18.820,0.003170
199.00,12.681,18.824,0.002948
200.00,13.697,18.826,0.002724
201.00,14.713,18.829,0.002498
202.00,15.729,18.832,0.002270
203.00,16.745,18.834,0.002041
204.00,17.760,18.836,0.001811
205.00,18.776,18.838,0.001579
206.00,19.792,18.840,0.001346
207.00,20.808,18.841,0.001113
208.00,21.824,18.842,0.000878
209.00,22.839,18.843,0.000644
210.00,23.855,18.844,0.000408
211.00,24.871,18.844,0.000173
212.00,25.886,18.844,-0.000062
213.00,26.901,18.844,-0.000297
214.00,27.916,18.844,-0.000532
215.00,28.932,18.843,-0.000766
216.00,29.946,18.843,-0.001000
217.00,30.961,18.842,-0.001233
218.00,31.976,18.840,-0.001465
219.00,32.990,18.839,-0.001695
220.00,34.004,18.837,-0.001925
221.00,35.018,18.835,-0.002153
222.00,36.032,18.833,-0.002379
223.00,37.045,18.831,-0.002603
224.00,38.059,18.828,-0.002826
225.00,39.072,18.825,-0.003046
226.00,40.084,18.822,-0.003264
227.00,41.097,18.819,-0.003480
228.00,42.109,18.815,-0.003692
229.00,43.121,18.811,-0.003903
230.00,44.133,18.807,-0.004110
231.00,45.144,18.803,-0.004314
232.00,46.155,18.799,-0.004515
233.00,47.166,18.794,-0.004712
234.00,48.176,18.790,-0.004906
235.00,49.186,18.785,-0.005097
236.00,50.196,18.780,-0.005283
237.00,51.205,18.774,-0.005466
238.00,52.214,18.769,-0.005645
239.00,53.223,18.763,-0.005819
240.00,54.231,18.757,-0.005989
241.00,55.239,18.751,-0.006154
242.00,56.247,18.745,-0.006315
243.00,57.254,18.739,-0.006472
244.00,58.261,18.732,-0.006623
245.00,59.267,18.725,-0.006769
246.00,60.273,18.719,-0.006911
247.00,61.279,18.712,-0.007047
248.00,62.284,18.704,-0.007178
249.00,63.289,18.697,-0.007303
250.00,64.293,18.690,-0.007423
251.00,65.297,18.682,-0.007537
252.00,66.301,18.675,-0.007646
253.00,67.304,18.667,-0.007749
254.00,68.306,18.659,-0.007846
255.00,69.309,18.652,-0.007937
256.00,70.311,18.644,-0.008023
257.00,71.312,18.636,-0.008102
258.00,72.314,18.628,-0.008175
259.00,73.314,18.619,-0.008241
260.00,74.315,18.611,-0.008302
261.00,75.315,18.603,-0.008356
262.00,76.314,18.594,-0.008404
263.00,77.313,18.586,-0.008446
264.00,78.312,18.578,-0.008481
265.00,79.311,18.569,-0.008509
266.00,80.309,18.561,-0.008531
267.00,81.306,18.552,-0.008547
268.00,82.304,18.544,-0.008556
269.00,83.301,18.535,-0.008558
270.00,84.297,18.527,-0.008554
271.00,85.293,18.518,-0.008544
272.00,86.289,18.510,-0.008526
273.00,87.285,18.501,-0.008503
274.00,88.280,18.493,-0.008472
275.00,89.275,18.484,-0.008436
276.00,90.270,18.476,-0.008392
277.00,91.264,18.467,-0.008342
278.00,92.258,18.459,-0.008286
279.00,93.251,18.451,-0.008224
280.00,94.245,18.443,-0.008155
281.00,95.238,18.435,-0.008079
282.00,96.231,18.427,1.579931
283.00,96.222,19.417,1.580189
284.00,96.212,20.408,1.580438
285.00,96.203,21.400,1.580676
286.00,96.193,22.391,1.580903
287.00,96.183,23.382,-2.512028
288.00,96.173,23.375,-3.134343
289.00,95.161,23.367,-3.134467
290.00,94.148,23.360,-3.134595
291.00,93.136,23.353,-3.134729
292.00,92.123,23.346,-3.134868
293.00,91.110,23.339,-3.135012
294.00,90.097,23.332,-3.135161
295.00,89.084,23.326,-3.135314
296.00,88.071,23.320,-3.135473
297.00,87.057,23.313,-3.135635
298.00,86.044,23.307,-3.135802
299.00,85.030,23.302,-3.135974
300.00,84.016,23.296,-3.136149
301.00,83.003,23.290,-3.136328
302.00,81.989,23.285,-3.136512
303.00,80.975,23.280,-3.136699
304.00,79.961,23.275,-3.136890
305.00,78.947,23.270,-3.137084
306.00,77.933,23.265,-3.137281
307.00,76.919,23.261,-3.137482
308.00,75.905,23.257,-3.137686
309.00,74.891,23.253,-3.137893
310.00,73.877,23.249,-3.138102
311.00,72.863,23.246,-3.138314
312.00,71.849,23.242,-3.138528
313.00,70.836,23.239,-3.138745
314.00,69.822,23.236,-3.138964
315.00,68.809,23.234,-3.139185
316.00,67.795,23.231,-3.139408
317.00,66.782,23.229,-3.139632
318.00,65.769,23.227,-3.139858
319.00,64.756,23.225,-3.140085
320.00,63.743,23.224,-3.140314
321.00,62.730,23.223,-3.140543
322.00,61.718,23.221,-3.140773
323.00,60.705,23.221,-3.141004
324.00,59.693,23.220,-3.141236
325.00,58.681,23.220,-3.141467
326.00,57.670,23.220,3.141486
327.00,56.658,23.220,3.141254
328.00,55.647,23.220,3.141023
329.00,54.636,23.221,3.140791
330.00,53.625,23.221,3.140561
331.00,52.615,23.222,3.140331
332.00,51.605,23.224,3.140101
333.00,50.595,23.225,3.139873
334.00,49.585,23.227,3.139646
335.00,48.576,23.229,3.139421
336.00,47.567,23.231,3.139197
337.00,46.558,23.233,3.138974
338.00,45.550,23.236,3.138754
339.00,44.542,23.239,3.138536
340.00,43.534,23.242,3.138320
341.00,42.527,23.245,3.138106
342.00,41.520,23.249,3.137895
343.00,40.513,23.253,3.137686
344.00,39.507,23.257,3.137481
345.00,38.501,23.261,3.137278
346.00,37.495,23.265,3.137079
347.00,36.490,23.270,3.136883
348.00,35.485,23.274,3.136691
349.00,34.481,23.279,3.136502
350.00,33.477,23.284,3.136317
351.00,32.473,23.290,3.136137
352.00,31.469,23.295,3.135960
353.00,30.467,23.301,3.135787
354.00,29.464,23.307,3.135619
355.00,28.462,23.313,3.135456
356.00,27.460,23.319,3.135297
357.00,26.458,23.325,3.135143
358.00,25.457,23.331,3.134994
359.00,24.457,23.338,3.134850
360.00,23.456,23.345,3.134712
361.00,22.456,23.352,3.134578
362.00,21.457,23.359,3.134450
363.00,20.458,23.366,3.134328
364.00,19.459,23.373,3.134211
365.00,18.460,23.380,3.134101
366.00,17.462,23.388,3.133995
367.00,16.465,23.396,3.133896
368.00,15.467,23.403,3.133803
369.00,14.470,23.411,3.133717
370.00,13.473,23.419,3.133636
371.00,12.477,23.427,3.133562
372.00,11.481,23.435,3.133494
373.00,10.485,23.443,3.133432
374.00,9.490,23.451,3.133378
375.00,8.495,23.459,3.133329
376.00,7.500,23.467,3.133288
377.00,6.506,23.476,3.133253
378.00,5.512,23.484,1.562557
379.00,5.520,24.491,1.562275
380.00,5.528,25.497,1.562002
381.00,5.537,26.504,1.561737
382.00,5.546,27.511,1.561482
383.00,5.556,28.518,0.713049
384.00,5.565,28.526,0.008210
385.00,6.577,28.534,0.008187
386.00,7.590,28.543,0.008157
387.00,8.602,28.551,0.008121
388.00,9.615,28.559,0.008078
389.00,10.628,28.567,0.008028
390.00,11.641,28.576,0.007972
391.00,12.655,28.584,0.007909
392.00,13.668,28.592,0.007840
393.00,14.682,28.600,0.007765
394.00,15.696,28.607,0.007683
395.00,16.710,28.615,0.007595
396.00,17.724,28.623,0.007500
397.00,18.738,28.631,0.007399
398.00,19.753,28.638,0.007292
399.00,20.767,28.645,0.007179
400.00,21.782,28.653,0.007060
401.00,22.796,28.660,0.006935
402.00,23.811,28.667,0.006804
403.00,24.826,28.674,0.006667
404.00,25.840,28.681,0.006525
405.00,26.855,28.687,0.006377
406.00,27.870,28.694,0.006223
407.00,28.885,28.700,0.006063
408.00,29.899,28.706,0.005899
409.00,30.914,28.712,0.005729
410.00,31.929,28.718,0.005554
411.00,32.943,28.724,0.005373
412.00,33.958,28.729,0.005188
413.00,34.972,28.734,0.004998
414.00,35.987,28.739,0.004803
415.00,37.001,28.744,0.004604
416.00,38.015,28.749,0.004400
417.00,39.029,28.753,0.004191
418.00,40.043,28.758,0.003979
419.00,41.057,28.762,0.003762
420.00,42.070,28.765,0.003541
421.00,43.084,28.769,0.003317
422.00,44.097,28.772,0.003089
423.00,45.110,28.776,0.002857
424.00,46.123,28.778,0.002621
425.00,47.135,28.781,0.002383
426.00,48.148,28.784,0.002141
427.00,49.160,28.786,0.001897
428.00,50.172,28.788,0.001649
429.00,51.183,28.789,0.001399
430.00,52.195,28.791,0.001147
431.00,53.206,28.792,0.000892
432.00,54.217,28.793,0.000635
433.00,55.227,28.793,0.000375
434.00,56.237,28.794,0.000114
435.00,57.247,28.794,-0.000148
436.00,58.257,28.794,-0.000412
437.00,59.266,28.793,-0.000678
438.00,60.275,28.793,-0.000945
439.00,61.283,28.792,-0.001212
440.00,62.292,28.790,-0.001481
441.00,63.299,28.789,-0.001750
442.00,64.307,28.787,-0.002020
443.00,65.314,28.785,-0.002290
444.00,66.321,28.783,-0.002560
445.00,67.327,28.780,-0.002829
446.00,68.333,28.777,-0.003099
447.00,69.339,28.774,-0.003368
448.00,70.344,28.771,-0.003637
449.00,71.349,28.767,-0.003905
450.00,72.354,28.763,-0.004172
451.00,73.358,28.759,-0.004438
452.00,74.361,28.755,-0.004702
453.00,75.365,28.750,-0.004965
454.00,76.368,28.745,-0.005226
455.00,77.370,28.740,-0.005486
456.00,78.372,28.734,-0.005743
457.00,79.374,28.729,-0.005998
458.00,80.375,28.723,-0.006251
459.00,81.376,28.716,-0.006501
460.00,82.377,28.710,-0.006748
461.00,83.377,28.703,-0.006993
462.00,84.377,28.696,-0.007234
463.00,85.376,28.689,-0.007472
464.00,86.375,28.681,-0.007707
465.00,87.373,28.674,-0.007938
466.00,88.372,28.666,-0.008165
467.00,89.369,28.658,-0.008389
468.00,90.367,28.649,-0.008608
469.00,91.364,28.641,-0.008824
470.00,92.361,28.632,-0.009034
471.00,93.357,28.623,-0.009241
472.00,94.353,28.614,-0.009442
473.00,95.348,28.604,-0.009639
474.00,96.344,28.595,1.578721
475.00,96.336,29.583,1.579069
476.00,96.328,30.571,1.579411
477.00,96.319,31.559,1.579744
478.00,96.310,32.547,1.580070
479.00,96.301,33.534,-2.297136
480.00,96.292,33.524,-3.130911
481.00,95.279,33.513,-3.130767
482.00,94.266,33.502,-3.130628
483.00,93.253,33.491,-3.130495
484.00,92.240,33.479,-3.130369
485.00,91.226,33.468,-3.130248
486.00,90.212,33.457,-3.130134
487.00,89.198,33.445,-3.130025
488.00,88.183,33.433,-3.129923
489.00,87.168,33.421,-3.129827
490.00,86.153,33.409,-3.129737
491.00,85.138,33.397,-3.129654
492.00,84.123,33.385,-3.129577
493.00,83.107,33.373,-3.129507
494.00,82.091,33.361,-3.129443
495.00,81.075,33.348,-3.129385
496.00,80.059,33.336,-3.129334
497.00,79.043,33.324,-3.129290
498.00,78.027,33.311,-3.129252
499.00,77.010,33.298,-3.129221
500.00,75.993,33.286,-3.129196
501.00,74.977,33.273,-3.129178
502.00,73.960,33.261,-3.129166
503.00,72.943,33.248,-3.129161
504.00,71.926,33.235,-3.129163
505.00,70.909,33.223,-3.129171
506.00,69.892,33.210,-3.129186
507.00,68.875,33.197,-3.129208
508.00,67.858,33.185,-3.129235
509.00,66.840,33.172,-3.129270
510.00,65.823,33.160,-3.129310
511.00,64.806,33.147,-3.129358
512.00,63.789,33.135,-3.129411
513.00,62.772,33.122,-3.129471
514.00,61.755,33.110,-3.129537
515.00,60.739,33.098,-3.129609
516.00,59.722,33.086,-3.129688
517.00,58.705,33.074,-3.129773
518.00,57.689,33.062,-3.129863
519.00,56.672,33.050,-3.129960
520.00,55.656,33.038,-3.130062
521.00,54.640,33.026,-3.130171
522.00,53.624,33.014,-3.130285
523.00,52.608,33.003,-3.130404
524.00,51.592,32.992,-3.130530
525.00,50.577,32.980,-3.130660
526.00,49.561,32.969,-3.130796
527.00,48.546,32.958,-3.130938
528.00,47.532,32.948,-3.131084
529.00,46.517,32.937,-3.131236
530.00,45.503,32.926,-3.131393
531.00,44.489,32.916,-3.131554
532.00,43.475,32.906,-3.131720
533.00,42.461,32.896,-3.131891
534.00,41.448,32.886,-3.132066
535.00,40.435,32.876,-3.132246
536.00,39.422,32.867,-3.132430
537.00,38.410,32.858,-3.132618
538.00,37.398,32.849,-3.132810
539.00,36.386,32.840,-3.133006
540.00,35.374,32.831,-3.133205
541.00,34.363,32.822,-3.133408
542.00,33.352,32.814,-3.133615
543.00,32.342,32.806,-3.133824
544.00,31.332,32.798,-3.134037
545.00,30.322,32.791,-3.134253
546.00,29.313,32.783,-3.134471
547.00,28.304,32.776,-3.134693
548.00,27.295,32.769,-3.134916
549.00,26.287,32.762,-3.135142
550.00,25.279,32.756,-3.135370
551.00,24.271,32.750,-3.135600
552.00,23.264,32.744,-3.135832
553.00,22.257,32.738,-3.136066
554.00,21.251,32.732,-3.136301
555.00,20.245,32.727,-3.136537
556.00,19.239,32.722,-3.136775
557.00,18.234,32.717,-3.137013
558.00,17.229,32.712,-3.137252
559.00,16.225,32.708,-3.137492
560.00,15.221,32.704,-3.137732
561.00,14.217,32.700,-3.137973
562.00,13.214,32.696,-3.138213
563.00,12.211,32.693,-3.138453
564.00,11.208,32.690,-3.138694
565.00,10.206,32.687,-3.138933
566.00,9.205,32.684,-3.139172
567.00,8.203,32.682,-3.139410
568.00,7.202,32.680,-3.139647
569.00,6.202,32.678,-3.139883
570.00,5.201,32.676,1.567388
571.00,5.205,33.672,1.567022
572.00,5.208,34.669,1.566661
573.00,5.213,35.665,1.566306
574.00,5.217,36.662,1.565957
575.00,5.222,37.659,-0.067370
576.00,5.227,37.659,-0.000125
577.00,6.236,37.659,0.000092
578.00,7.245,37.659,0.000307
579.00,8.255,37.659,0.000518
580.00,9.264,37.660,0.000726
581.00,10.275,37.660,0.000931
582.00,11.285,37.661,0.001132
583.00,12.296,37.663,0.001329
584.00,13.307,37.664,0.001523
585.00,14.318,37.665,0.001712
586.00,15.330,37.667,0.001897
587.00,16.342,37.669,0.002079
588.00,17.354,37.671,0.002255
589.00,18.366,37.673,0.002427
590.00,19.379,37.676,0.002595
591.00,20.392,37.679,0.002758
592.00,21.405,37.681,0.002916
593.00,22.418,37.684,0.003069
594.00,23.432,37.687,0.003217
595.00,24.445,37.691,0.003360
596.00,25.459,37.694,0.003498
597.00,26.473,37.698,0.003630
598.00,27.487,37.701,0.003757
599.00,28.501,37.705,0.003878
600.00,29.516,37.709,0.003994
601.00,30.530,37.713,0.004104
602.00,31.545,37.717,0.004209
603.00,32.560,37.722,0.004307
604.00,33.574,37.726,0.004400
605.00,34.589,37.730,0.004487
606.00,35.604,37.735,0.004568
607.00,36.619,37.740,0.004642
608.00,37.634,37.744,0.004711
609.00,38.649,37.749,0.004774
610.00,39.664,37.754,0.004830
611.00,40.678,37.759,0.004881
612.00,41.693,37.764,0.004925
613.00,42.708,37.769,0.004962
614.00,43.723,37.774,0.004994
615.00,44.738,37.779,0.005019
616.00,45.752,37.784,0.005038
617.00,46.767,37.789,0.005050
618.00,47.781,37.794,0.005056
619.00,48.796,37.799,0.005056
620.00,49.810,37.804,0.005050
621.00,50.824,37.810,0.005037
622.00,51.838,37.815,0.005018
623.00,52.852,37.820,0.004992
624.00,53.865,37.825,0.004960
625.00,54.879,37.830,0.004922
626.00,55.892,37.835,0.004878
627.00,56.905,37.840,0.004828
628.00,57.918,37.845,0.004771
629.00,58.931,37.849,0.004708
630.00,59.943,37.854,0.004639
631.00,60.955,37.859,0.004565
632.00,61.967,37.864,0.004484
633.00,62.979,37.868,0.004397
634.00,63.990,37.873,0.004304
635.00,65.001,37.877,0.004206
636.00,66.012,37.881,0.004102
637.00,67.022,37.885,0.003992
638.00,68.033,37.889,0.003876
639.00,69.042,37.893,0.003756
640.00,70.052,37.897,0.003629
641.00,71.061,37.901,0.003498
642.00,72.070,37.904,0.003361
643.00,73.079,37.908,0.003219
644.00,74.087,37.911,0.003072
645.00,75.095,37.914,0.002920
646.00,76.102,37.917,0.002764
647.00,77.109,37.920,0.002602
648.00,78.116,37.922,0.002436
649.00,79.123,37.925,0.002266
650.00,80.129,37.927,0.002091
651.00,81.134,37.929,0.001913
652.00,82.140,37.931,0.001730
653.00,83.145,37.933,0.001543
654.00,84.149,37.934,0.001352
655.00,85.153,37.936,0.001158
656.00,86.157,37.937,0.000960
657.00,87.160,37.938,0.000759
658.00,88.163,37.939,0.000555
659.00,89.166,37.939,0.000347
660.00,90.168,37.939,0.000137
661.00,91.170,37.940,-0.000076
662.00,92.171,37.940,-0.000291
663.00,93.172,37.939,-0.000509
664.00,94.173,37.939,-0.000730
665.00,95.173,37.938,-0.000952
666.00,96.173,37.937,1.575200
667.00,96.169,38.933,1.575591
668.00,96.164,39.929,1.575980
669.00,96.159,40.925,1.576364
670.00,96.153,41.920,1.576745
671.00,96.147,42.915,-2.786361
672.00,96.141,42.913,-3.139055
673.00,95.130,42.910,-3.138827
674.00,94.120,42.908,-3.138599
675.00,93.108,42.905,-3.138372
676.00,92.097,42.901,-3.138144
677.00,91.085,42.898,-3.137917
678.00,90.072,42.894,-3.137690
679.00,89.059,42.890,-3.137464
680.00,88.046,42.886,-3.137239
681.00,87.033,42.882,-3.137015
682.00,86.019,42.877,-3.136792
683.00,85.005,42.872,-3.136570
684.00,83.991,42.867,-3.136350
685.00,82.976,42.862,-3.136132
686.00,81.961,42.856,-3.135915
687.00,80.946,42.850,-3.135701
688.00,79.931,42.844,-3.135488
689.00,78.915,42.838,-3.135278
690.00,77.899,42.832,-3.135071
691.00,76.883,42.825,-3.134866
692.00,75.866,42.818,-3.134663
693.00,74.850,42.811,-3.134464
694.00,73.833,42.804,-3.134268
695.00,72.816,42.797,-3.134075
696.00,71.799,42.789,-3.133885
697.00,70.781,42.781,-3.133699
698.00,69.764,42.773,-3.133516
699.00,68.746,42.765,-3.133338
700.00,67.728,42.756,-3.133163
701.00,66.710,42.748,-3.132992
702.00,65.692,42.739,-3.132825
703.00,64.674,42.730,-3.132663
704.00,63.656,42.721,-3.132505
705.00,62.637,42.712,-3.132351
706.00,61.619,42.702,-3.132203
707.00,60.601,42.693,-3.132059
708.00,59.582,42.683,-3.131919
709.00,58.564,42.673,-3.131785
710.00,57.545,42.663,-3.131656
711.00,56.527,42.653,-3.131532
712.00,55.508,42.643,-3.131414
713.00,54.490,42.632,-3.131300
714.00,53.471,42.622,-3.131192
715.00,52.453,42.611,-3.131090
716.00,51.434,42.601,-3.130994
717.00,50.416,42.590,-3.130903
718.00,49.398,42.579,-3.130817
719.00,48.380,42.568,-3.130738
720.00,47.362,42.557,-3.130665
721.00,46.344,42.546,-3.130597
722.00,45.326,42.535,-3.130536
723.00,44.309,42.523,-3.130481
724.00,43.291,42.512,-3.130432
725.00,42.274,42.501,-3.130389
726.00,41.257,42.489,-3.130352
727.00,40.240,42.478,-3.130322
728.00,39.223,42.467,-3.130298
729.00,38.207,42.455,-3.130281
730.00,37.191,42.444,-3.130269
731.00,36.175,42.432,-3.130265
732.00,35.159,42.421,-3.130266
733.00,34.143,42.409,-3.130274
734.00,33.128,42.398,-3.130289
735.00,32.113,42.386,-3.130310
736.00,31.099,42.375,-3.130337
737.00,30.084,42.363,-3.130371
738.00,29.070,42.352,-3.130412
739.00,28.056,42.340,-3.130459
740.00,27.043,42.329,-3.130512
741.00,26.030,42.318,-3.130572
742.00,25.017,42.307,-3.130638
743.00,24.004,42.296,-3.130710
744.00,22.992,42.285,-3.130789
745.00,21.980,42.274,-3.130874
746.00,20.969,42.263,-3.130966
747.00,19.958,42.252,-3.131063
748.00,18.947,42.242,-3.131167
749.00,17.937,42.231,-3.131277
750.00,16.927,42.221,-3.131393
751.00,15.917,42.210,-3.131514
752.00,14.908,42.200,-3.131642
753.00,13.899,42.190,-3.131776
754.00,12.891,42.180,-3.131915
755.00,11.883,42.170,-3.132060
756.00,10.875,42.161,-3.132210
757.00,9.868,42.151,-3.132366
758.00,8.861,42.142,-3.132528
759.00,7.854,42.133,-3.132695
760.00,6.848,42.124,-3.132866
761.00,5.842,42.115,-3.133043
762.00,4.837,42.107,1.571267
763.00,4.837,43.095,1.570855
764.00,4.837,44.084,1.570444
765.00,4.837,45.073,1.570034
766.00,4.838,46.062,1.569627
767.00,4.839,47.051,-1.364242
768.00,4.840,47.044,-0.007170
769.00,5.847,47.036,-0.006953
770.00,6.854,47.029,-0.006731
771.00,7.861,47.023,-0.006506
772.00,8.869,47.016,-0.006278
773.00,9.877,47.010,-0.006047
774.00,10.885,47.004,-0.005813
775.00,11.894,46.998,-0.005577
776.00,12.903,46.992,-0.005337
777.00,13.912,46.987,-0.005096
778.00,14.922,46.982,-0.004852
779.00,15.933,46.977,-0.004606
780.00,16.943,46.972,-0.004358
781.00,17.954,46.968,-0.004108
782.00,18.966,46.963,-0.003857
783.00,19.977,46.959,-0.003604
784.00,20.989,46.956,-0.003350
785.00,22.001,46.952,-0.003095
786.00,23.014,46.949,-0.002840
787.00,24.027,46.946,-0.002583
788.00,25.040,46.944,-0.002326
789.00,26.054,46.941,-0.002069
790.00,27.067,46.939,-0.001811
791.00,28.081,46.938,-0.001553
792.00,29.096,46.936,-0.001296
