# Tiempo(s), X(m), Y(m), Theta_Yaw(rad)
111.00, 80.00, 13.00, 3.141593
112.00, 79.00, 13.00, 3.141593
113.00, 78.00, 13.00, 3.141593
114.00, 77.00, 13.00, 3.141593
115.00, 76.00, 13.00, 3.141593
116.00, 75.00, 13.00, 3.141593
117.00, 74.00, 13.00, 3.141593
118.00, 73.00, 13.00, 3.141593
119.00, 72.00, 13.00, 3.141593
120.00, 71.00, 13.00, 3.141593
121.00, 70.00, 13.00, 3.141593
122.00, 69.00, 13.00, 3.141593
123.00, 68.00, 13.00, 3.141593
124.00, 67.00, 13.00, 3.141593
125.00, 66.00, 13.00, 3.141593
126.00, 65.00, 13.00, 3.141593
127.00, 64.00, 13.00, 3.141593
128.00, 63.00, 13.00, 3.141593
129.00, 62.00, 13.00, 3.141593
130.00, 61.00, 13.00, 3.141593
131.00, 60.00, 13.00, 3.141593
132.00, 59.00, 13.00, 3.141593
133.00, 58.00, 13.00, 3.141593
134.00, 57.00, 13.00, 3.141593
135.00, 56.00, 13.00, 3.141593
136.00, 55.00, 13.00, 3.141593
137.00, 54.00, 13.00, 3.141593
138.00, 53.00, 13.00, 3.141593
139.00, 52.00, 13.00, 3.141593
140.00, 51.00, 13.00, 3.141593
141.00, 50.00, 13.00, 3.141593
142.00, 49.00, 13.00, 3.141593
143.00, 48.00, 13.00, 3.141593
144.00, 47.00, 13.00, 3.141593
145.00, 46.00, 13.00, 3.141593
146.00, 45.00, 13.00, 3.141593
147.00, 44.00, 13.00, 3.141593
148.00, 43.00, 13.00, 3.141593
149.00, 42.00, 13.00, 3.141593
150.00, 41.00, 13.00, 3.141593
151.00, 40.00, 13.00, 3.141593
152.00, 39.00, 13.00, 3.141593
153.00, 38.00, 13.00, 3.141593
154.00, 37.00, 13.00, 3.141593
155.00, 36.00, 13.00, 3.141593
156.00, 35.00, 13.00, 3.141593
157.00, 34.00, 13.00, 3.141593
158.00, 33.00, 13.00, 3.141593
159.00, 32.00, 13.00, 3.141593
160.00, 31.00, 13.00, 3.141593
161.00, 30.00, 13.00, 3.141593
162.00, 29.00, 13.00, 3.141593
163.00, 28.00, 13.00, 3.141593
164.00, 27.00, 13.00, 3.141593
165.00, 26.00, 13.00, 3.141593
166.00, 25.00, 13.00, 3.141593
167.00, 24.00, 13.00, 3.141593
168.00, 23.00, 13.00, 3.141593
169.00, 22.00, 13.00, 3.141593
170.00, 21.00, 13.00, 3.141593
171.00, 20.00, 13.00, 3.141593
172.00, 19.00, 13.00, 3.141593
173.00, 18.00, 13.00, 3.141593
174.00, 17.00, 13.00, 3.141593
175.00, 16.00, 13.00, 3.141593
176.00, 15.00, 13.00, 3.141593
177.00, 14.00, 13.00, 3.141593
178.00, 13.00, 13.00, 3.141593
179.00, 12.00, 13.00, 3.141593
180.00, 11.00, 13.00, 3.141593
181.00, 10.00, 13.00, 3.141593
182.00, 9.00, 13.00, 3.141593
183.00, 8.00, 13.00, 3.141593
184.00, 7.00, 13.00, 3.141593
185.00, 6.00, 13.00, 3.141593
186.00, 5.00, 13.00, 1.570796
187.00, 5.00, 14.00, 1.570796
188.00, 5.00, 15.00, 1.570796
189.00, 5.00, 16.00, 1.570796
190.00, 5.00, 17.00, 1.570796
191.00, 5.00, 18.00, 1.570796
192.00, 5.00, 18.00, 0.000000
193.00, 6.00, 18.00, 0.000000
194.00, 7.00, 18.00, 0.000000
195.00, 8.00, 18.00, 0.000000
196.00, 9.00, 18.00, 0.000000
197.00, 10.00, 18.00, 0.000000
198.00, 11.00, 18.00, 0.000000
199.00, 12.00, 18.00, 0.000000
200.00, 13.00, 18.00, 0.000000
201.00, 14.00, 18.00, 0.000000
202.00, 15.00, 18.00, 0.000000
203.00, 16.00, 18.00, 0.000000
204.00, 17.00, 18.00, 0.000000
205.00, 18.00, 18.00, 0.000000
206.00, 19.00, 18.00, 0.000000
207.00, 20.00, 18.00, 0.000000
208.00, 21.00, 18.00, 0.000000
209.00, 22.00, 18.00, 0.000000
210.00, 23.00, 18.00, 0.000000
211.00, 24.00, 18.00, 0.000000
212.00, 25.00, 18.00, 0.000000
213.00, 26.00, 18.00, 0.000000
214.00, 27.00, 18.00, 0.000000
215.00, 28.00, 18.00, 0.000000
216.00, 29.00, 18.00, 0.000000
217.00, 30.00, 18.00, 0.000000
218.00, 31.00, 18.00, 0.000000
219.00, 32.00, 18.00, 0.000000
220.00, 33.00, 18.00, 0.000000
221.00, 34.00, 18.00, 0.000000
222.00, 35.00, 18.00, 0.000000
223.00, 36.00, 18.00, 0.000000
224.00, 37.00, 18.00, 0.000000
225.00, 38.00, 18.00, 0.000000
226.00, 39.00, 18.00, 0.000000
227.00, 40.00, 18.00, 0.000000
228.00, 41.00, 18.00, 0.000000
229.00, 42.00, 18.00, 0.000000
230.00, 43.00, 18.00, 0.000000
231.00, 44.00, 18.00, 0.000000
232.00, 45.00, 18.00, 0.000000
233.00, 46.00, 18.00, 0.000000
234.00, 47.00, 18.00, 0.000000
235.00, 48.00, 18.00, 0.000000
236.00, 49.00, 18.00, 0.000000
237.00, 50.00, 18.00, 0.000000
238.00, 51.00, 18.00, 0.000000
239.00, 52.00, 18.00, 0.000000
240.00, 53.00, 18.00, 0.000000
241.00, 54.00, 18.00, 0.000000
242.00, 55.00, 18.00, 0.000000
243.00, 56.00, 18.00, 0.000000
244.00, 57.00, 18.00, 0.000000
245.00, 58.00, 18.00, 0.000000
246.00, 59.00, 18.00, 0.000000
247.00, 60.00, 18.00, 0.000000
248.00, 61.00, 18.00, 0.000000
249.00, 62.00, 18.00, 0.000000
250.00, 63.00, 18.00, 0.000000
251.00, 64.00, 18.00, 0.000000
252.00, 65.00, 18.00, 0.000000
253.00, 66.00, 18.00, 0.000000
254.00, 67.00, 18.00, 0.000000
255.00, 68.00, 18.00, 0.000000
256.00, 69.00, 18.00, 0.000000
257.00, 70.00, 18.00, 0.000000
258.00, 71.00, 18.00, 0.000000
259.00, 72.00, 18.00, 0.000000
260.00, 73.00, 18.00, 0.000000
261.00, 74.00, 18.00, 0.000000
262.00, 75.00, 18.00, 0.000000
263.00, 76.00, 18.00, 0.000000
264.00, 77.00, 18.00, 0.000000
265.00, 78.00, 18.00, 0.000000
266.00, 79.00, 18.00, 0.000000
267.00, 80.00, 18.00, 0.000000
268.00, 81.00, 18.00, 0.000000
269.00, 82.00, 18.00, 0.000000
270.00, 83.00, 18.00, 0.000000
271.00, 84.00, 18.00, 0.000000
272.00, 85.00, 18.00, 0.000000
273.00, 86.00, 18.00, 0.000000
274.00, 87.00, 18.00, 0.000000
275.00, 88.00, 18.00, 0.000000
276.00, 89.00, 18.00, 0.000000
277.00, 90.00, 18.00, 0.000000
278.00, 91.00, 18.00, 0.000000
279.00, 92.00, 18.00, 0.000000
280.00, 93.00, 18.00, 0.000000
281.00, 94.00, 18.00, 0.000000
282.00, 95.00, 18.00, 1.570796
283.00, 95.00, 19.00, 1.570796
284.00, 95.00, 20.00, 1.570796
285.00, 95.00, 21.00, 1.570796
286.00, 95.00, 22.00, 1.570796
287.00, 95.00, 23.00, 1.570796
288.00, 95.00, 23.00, 3.141593
289.00, 94.00, 23.00, 3.141593
290.00, 93.00, 23.00, 3.141593
291.00, 92.00, 23.00, 3.141593
292.00, 91.00, 23.00, 3.141593
293.00, 90.00, 23.00, 3.141593
294.00, 89.00, 23.00, 3.141593
295.00, 88.00, 23.00, 3.141593
296.00, 87.00, 23.00, 3.141593
297.00, 86.00, 23.00, 3.141593
298.00, 85.00, 23.00, 3.141593
299.00, 84.00, 23.00, 3.141593
300.00, 83.00, 23.00, 3.141593
301.00, 82.00, 23.00, 3.141593
302.00, 81.00, 23.00, 3.141593
303.00, 80.00, 23.00, 3.141593
304.00, 79.00, 23.00, 3.141593
305.00, 78.00, 23.00, 3.141593
306.00, 77.00, 23.00, 3.141593
307.00, 76.00, 23.00, 3.141593
308.00, 75.00, 23.00, 3.141593
309.00, 74.00, 23.00, 3.141593
310.00, 73.00, 23.00, 3.141593
311.00, 72.00, 23.00, 3.141593
312.00, 71.00, 23.00, 3.141593
313.00, 70.00, 23.00, 3.141593
314.00, 69.00, 23.00, 3.141593
315.00, 68.00, 23.00, 3.141593
316.00, 67.00, 23.00, 3.141593
317.00, 66.00, 23.00, 3.141593
318.00, 65.00, 23.00, 3.141593
319.00, 64.00, 23.00, 3.141593
320.00, 63.00, 23.00, 3.141593
321.00, 62.00, 23.00, 3.141593
322.00, 61.00, 23.00, 3.141593
323.00, 60.00, 23.00, 3.141593
324.00, 59.00, 23.00, 3.141593
325.00, 58.00, 23.00, 3.141593
326.00, 57.00, 23.00, 3.141593
327.00, 56.00, 23.00, 3.141593
328.00, 55.00, 23.00, 3.141593
329.00, 54.00, 23.00, 3.141593
330.00, 53.00, 23.00, 3.141593
331.00, 52.00, 23.00, 3.141593
332.00, 51.00, 23.00, 3.141593
333.00, 50.00, 23.00, 3.141593
334.00, 49.00, 23.00, 3.141593
335.00, 48.00, 23.00, 3.141593
336.00, 47.00, 23.00, 3.141593
337.00, 46.00, 23.00, 3.141593
338.00, 45.00, 23.00, 3.141593
339.00, 44.00, 23.00, 3.141593
340.00, 43.00, 23.00, 3.141593
341.00, 42.00, 23.00, 3.141593
342.00, 41.00, 23.00, 3.141593
343.00, 40.00, 23.00, 3.141593
344.00, 39.00, 23.00, 3.141593
345.00, 38.00, 23.00, 3.141593
346.00, 37.00, 23.00, 3.141593
347.00, 36.00, 23.00, 3.141593
348.00, 35.00, 23.00, 3.141593
349.00, 34.00, 23.00, 3.141593
350.00, 33.00, 23.00, 3.141593
351.00, 32.00, 23.00, 3.141593
352.00, 31.00, 23.00, 3.141593
353.00, 30.00, 23.00, 3.141593
354.00, 29.00, 23.00, 3.141593
355.00, 28.00, 23.00, 3.141593
356.00, 27.00, 23.00, 3.141593
357.00, 26.00, 23.00, 3.141593
358.00, 25.00, 23.00, 3.141593
359.00, 24.00, 23.00, 3.141593
360.00, 23.00, 23.00, 3.141593
361.00, 22.00, 23.00, 3.141593
362.00, 21.00, 23.00, 3.141593
363.00, 20.00, 23.00, 3.141593
364.00, 19.00, 23.00, 3.141593
365.00, 18.00, 23.00, 3.141593
366.00, 17.00, 23.00, 3.141593
367.00, 16.00, 23.00, 3.141593
368.00, 15.00, 23.00, 3.141593
369.00, 14.00, 23.00, 3.141593
370.00, 13.00, 23.00, 3.141593
371.00, 12.00, 23.00, 3.141593
372.00, 11.00, 23.00, 3.141593
373.00, 10.00, 23.00, 3.141593
374.00, 9.00, 23.00, 3.141593
375.00, 8.00, 23.00, 3.141593
376.00, 7.00, 23.00, 3.141593
377.00, 6.00, 23.00, 3.141593
378.00, 5.00, 23.00, 1.570796
379.00, 5.00, 24.00, 1.570796
380.00, 5.00, 25.00, 1.570796
381.00, 5.00, 26.00, 1.570796
382.00, 5.00, 27.00, 1.570796
383.00, 5.00, 28.00, 1.570796
384.00, 5.00, 28.00, 0.000000
385.00, 6.00, 28.00, 0.000000
386.00, 7.00, 28.00, 0.000000
387.00, 8.00, 28.00, 0.000000
388.00, 9.00, 28.00, 0.000000
389.00, 10.00, 28.00, 0.000000
390.00, 11.00, 28.00, 0.000000
391.00, 12.00, 28.00, 0.000000
392.00, 13.00, 28.00, 0.000000
393.00, 14.00, 28.00, 0.000000
394.00, 15.00, 28.00, 0.000000
395.00, 16.00, 28.00, 0.000000
396.00, 17.00, 28.00, 0.000000
397.00, 18.00, 28.00, 0.000000
398.00, 19.00, 28.00, 0.000000
399.00, 20.00, 28.00, 0.000000
400.00, 21.00, 28.00, 0.000000
401.00, 22.00, 28.00, 0.000000
402.00, 23.00, 28.00, 0.000000
403.00, 24.00, 28.00, 0.000000
404.00, 25.00, 28.00, 0.000000
405.00, 26.00, 28.00, 0.000000
406.00, 27.00, 28.00, 0.000000
407.00, 28.00, 28.00, 0.000000
408.00, 29.00, 28.00, 0.000000
409.00, 30.00, 28.00, 0.000000
410.00, 31.00, 28.00, 0.000000
411.00, 32.00, 28.00, 0.000000
412.00, 33.00, 28.00, 0.000000
413.00, 34.00, 28.00, 0.000000
414.00, 35.00, 28.00, 0.000000
415.00, 36.00, 28.00, 0.000000
416.00, 37.00, 28.00, 0.000000
417.00, 38.00, 28.00, 0.000000
418.00, 39.00, 28.00, 0.000000
419.00, 40.00, 28.00, 0.000000
420.00, 41.00, 28.00, 0.000000
421.00, 42.00, 28.00, 0.000000
422.00, 43.00, 28.00, 0.000000
423.00, 44.00, 28.00, 0.000000
424.00, 45.00, 28.00, 0.000000
425.00, 46.00, 28.00, 0.000000
426.00, 47.00, 28.00, 0.000000
427.00, 48.00, 28.00, 0.000000
428.00, 49.00, 28.00, 0.000000
429.00, 50.00, 28.00, 0.000000
430.00, 51.00, 28.00, 0.000000
431.00, 52.00, 28.00, 0.000000
432.00, 53.00, 28.00, 0.000000
433.00, 54.00, 28.00, 0.000000
434.00, 55.00, 28.00, 0.000000
435.00, 56.00, 28.00, 0.000000
436.00, 57.00, 28.00, 0.000000
437.00, 58.00, 28.00, 0.000000
438.00, 59.00, 28.00, 0.000000
439.00, 60.00, 28.00, 0.000000
440.00, 61.00, 28.00, 0.000000
441.00, 62.00, 28.00, 0.000000
442.00, 63.00, 28.00, 0.000000
443.00, 64.00, 28.00, 0.000000
444.00, 65.00, 28.00, 0.000000
445.00, 66.00, 28.00, 0.000000
446.00, 67.00, 28.00, 0.000000
447.00, 68.00, 28.00, 0.000000
448.00, 69.00, 28.00, 0.000000
449.00, 70.00, 28.00, 0.000000
450.00, 71.00, 28.00, 0.000000
451.00, 72.00, 28.00, 0.000000
452.00, 73.00, 28.00, 0.000000
453.00, 74.00, 28.00, 0.000000
454.00, 75.00, 28.00, 0.000000
455.00, 76.00, 28.00, 0.000000
456.00, 77.00, 28.00, 0.000000
457.00, 78.00, 28.00, 0.000000
458.00, 79.00, 28.00, 0.000000
459.00, 80.00, 28.00, 0.000000
460.00, 81.00, 28.00, 0.000000
461.00, 82.00, 28.00, 0.000000
462.00, 83.00, 28.00, 0.000000
463.00, 84.00, 28.00, 0.000000
464.00, 85.00, 28.00, 0.000000
465.00, 86.00, 28.00, 0.000000
466.00, 87.00, 28.00, 0.000000
467.00, 88.00, 28.00, 0.000000
468.00, 89.00, 28.00, 0.000000
469.00, 90.00, 28.00, 0.000000
470.00, 91.00, 28.00, 0.000000
471.00, 92.00, 28.00, 0.000000
472.00, 93.00, 28.00, 0.000000
473.00, 94.00, 28.00, 0.000000
474.00, 95.00, 28.00, 1.570796
475.00, 95.00, 29.00, 1.570796
476.00, 95.00, 30.00, 1.570796
477.00, 95.00, 31.00, 1.570796
478.00, 95.00, 32.00, 1.570796
479.00, 95.00, 33.00, 1.570796
480.00, 95.00, 33.00, 3.141593
481.00, 94.00, 33.00, 3.141593
482.00, 93.00, 33.00, 3.141593
483.00, 92.00, 33.00, 3.141593
484.00, 91.00, 33.00, 3.141593
485.00, 90.00, 33.00, 3.141593
486.00, 89.00, 33.00, 3.141593
487.00, 88.00, 33.00, 3.141593
488.00, 87.00, 33.00, 3.141593
489.00, 86.00, 33.00, 3.141593
490.00, 85.00, 33.00, 3.141593
491.00, 84.00, 33.00, 3.141593
492.00, 83.00, 33.00, 3.141593
493.00, 82.00, 33.00, 3.141593
494.00, 81.00, 33.00, 3.141593
495.00, 80.00, 33.00, 3.141593
496.00, 79.00, 33.00, 3.141593
497.00, 78.00, 33.00, 3.141593
498.00, 77.00, 33.00, 3.141593
499.00, 76.00, 33.00, 3.141593
500.00, 75.00, 33.00, 3.141593
501.00, 74.00, 33.00, 3.141593
502.00, 73.00, 33.00, 3.141593
503.00, 72.00, 33.00, 3.141593
504.00, 71.00, 33.00, 3.141593
505.00, 70.00, 33.00, 3.141593
506.00, 69.00, 33.00, 3.141593
507.00, 68.00, 33.00, 3.141593
508.00, 67.00, 33.00, 3.141593
509.00, 66.00, 33.00, 3.141593
510.00, 65.00, 33.00, 3.141593
511.00, 64.00, 33.00, 3.141593
512.00, 63.00, 33.00, 3.141593
513.00, 62.00, 33.00, 3.141593
514.00, 61.00, 33.00, 3.141593
515.00, 60.00, 33.00, 3.141593
516.00, 59.00, 33.00, 3.141593
517.00, 58.00, 33.00, 3.141593
518.00, 57.00, 33.00, 3.141593
519.00, 56.00, 33.00, 3.141593
520.00, 55.00, 33.00, 3.141593
521.00, 54.00, 33.00, 3.141593
522.00, 53.00, 33.00, 3.141593
523.00, 52.00, 33.00, 3.141593
524.00, 51.00, 33.00, 3.141593
525.00, 50.00, 33.00, 3.141593
526.00, 49.00, 33.00, 3.141593
527.00, 48.00, 33.00, 3.141593
528.00, 47.00, 33.00, 3.141593
529.00, 46.00, 33.00, 3.141593
530.00, 45.00, 33.00, 3.141593
531.00, 44.00, 33.00, 3.141593
532.00, 43.00, 33.00, 3.141593
533.00, 42.00, 33.00, 3.141593
534.00, 41.00, 33.00, 3.141593
535.00, 40.00, 33.00, 3.141593
536.00, 39.00, 33.00, 3.141593
537.00, 38.00, 33.00, 3.141593
538.00, 37.00, 33.00, 3.141593
539.00, 36.00, 33.00, 3.141593
540.00, 35.00, 33.00, 3.141593
541.00, 34.00, 33.00, 3.141593
542.00, 33.00, 33.00, 3.141593
543.00, 32.00, 33.00, 3.141593
544.00, 31.00, 33.00, 3.141593
545.00, 30.00, 33.00, 3.141593
546.00, 29.00, 33.00, 3.141593
547.00, 28.00, 33.00, 3.141593
548.00, 27.00, 33.00, 3.141593
549.00, 26.00, 33.00, 3.141593
550.00, 25.00, 33.00, 3.141593
551.00, 24.00, 33.00, 3.141593
552.00, 23.00, 33.00, 3.141593
553.00, 22.00, 33.00, 3.141593
554.00, 21.00, 33.00, 3.141593
555.00, 20.00, 33.00, 3.141593
556.00, 19.00, 33.00, 3.141593
557.00, 18.00, 33.00, 3.141593
558.00, 17.00, 33.00, 3.141593
559.00, 16.00, 33.00, 3.141593
560.00, 15.00, 33.00, 3.141593
561.00, 14.00, 33.00, 3.141593
562.00, 13.00, 33.00, 3.141593
563.00, 12.00, 33.00, 3.141593
564.00, 11.00, 33.00, 3.141593
565.00, 10.00, 33.00, 3.141593
566.00, 9.00, 33.00, 3.141593
567.00, 8.00, 33.00, 3.141593
568.00, 7.00, 33.00, 3.141593
569.00, 6.00, 33.00, 3.141593
570.00, 5.00, 33.00, 1.570796
571.00, 5.00, 34.00, 1.570796
572.00, 5.00, 35.00, 1.570796
573.00, 5.00, 36.00, 1.570796
574.00, 5.00, 37.00, 1.570796
575.00, 5.00, 38.00, 1.570796
576.00, 5.00, 38.00, 0.000000
577.00, 6.00, 38.00, 0.000000
578.00, 7.00, 38.00, 0.000000
579.00, 8.00, 38.00, 0.000000
580.00, 9.00, 38.00, 0.000000
581.00, 10.00, 38.00, 0.000000
582.00, 11.00, 38.00, 0.000000
583.00, 12.00, 38.00, 0.000000
584.00, 13.00, 38.00, 0.000000
585.00, 14.00, 38.00, 0.000000
586.00, 15.00, 38.00, 0.000000
587.00, 16.00, 38.00, 0.000000
588.00, 17.00, 38.00, 0.000000
589.00, 18.00, 38.00, 0.000000
590.00, 19.00, 38.00, 0.000000
591.00, 20.00, 38.00, 0.000000
592.00, 21.00, 38.00, 0.000000
593.00, 22.00, 38.00, 0.000000
594.00, 23.00, 38.00, 0.000000
595.00, 24.00, 38.00, 0.000000
596.00, 25.00, 38.00, 0.000000
597.00, 26.00, 38.00, 0.000000
598.00, 27.00, 38.00, 0.000000
599.00, 28.00, 38.00, 0.000000
600.00, 29.00, 38.00, 0.000000
601.00, 30.00, 38.00, 0.000000
602.00, 31.00, 38.00, 0.000000
603.00, 32.00, 38.00, 0.000000
604.00, 33.00, 38.00, 0.000000
605.00, 34.00, 38.00, 0.000000
606.00, 35.00, 38.00, 0.000000
607.00, 36.00, 38.00, 0.000000
608.00, 37.00, 38.00, 0.000000
609.00, 38.00, 38.00, 0.000000
610.00, 39.00, 38.00, 0.000000
611.00, 40.00, 38.00, 0.000000
612.00, 41.00, 38.00, 0.000000
613.00, 42.00, 38.00, 0.000000
614.00, 43.00, 38.00, 0.000000
615.00, 44.00, 38.00, 0.000000
616.00, 45.00, 38.00, 0.000000
617.00, 46.00, 38.00, 0.000000
618.00, 47.00, 38.00, 0.000000
619.00, 48.00, 38.00, 0.000000
620.00, 49.00, 38.00, 0.000000
621.00, 50.00, 38.00, 0.000000
622.00, 51.00, 38.00, 0.000000
623.00, 52.00, 38.00, 0.000000
624.00, 53.00, 38.00, 0.000000
625.00, 54.00, 38.00, 0.000000
626.00, 55.00, 38.00, 0.000000
627.00, 56.00, 38.00, 0.000000
628.00, 57.00, 38.00, 0.000000
629.00, 58.00, 38.00, 0.000000
630.00, 59.00, 38.00, 0.000000
631.00, 60.00, 38.00, 0.000000
632.00, 61.00, 38.00, 0.000000
633.00, 62.00, 38.00, 0.000000
634.00, 63.00, 38.00, 0.000000
635.00, 64.00, 38.00, 0.000000
636.00, 65.00, 38.00, 0.000000
637.00, 66.00, 38.00, 0.000000
638.00, 67.00, 38.00, 0.000000
639.00, 68.00, 38.00, 0.000000
640.00, 69.00, 38.00, 0.000000
641.00, 70.00, 38.00, 0.000000
642.00, 71.00, 38.00, 0.000000
643.00, 72.00, 38.00, 0.000000
644.00, 73.00, 38.00, 0.000000
645.00, 74.00, 38.00, 0.000000
646.00, 75.00, 38.00, 0.000000
647.00, 76.00, 38.00, 0.000000
648.00, 77.00, 38.00, 0.000000
649.00, 78.00, 38.00, 0.000000
650.00, 79.00, 38.00, 0.000000
651.00, 80.00, 38.00, 0.000000
652.00, 81.00, 38.00, 0.000000
653.00, 82.00, 38.00, 0.000000
654.00, 83.00, 38.00, 0.000000
655.00, 84.00, 38.00, 0.000000
656.00, 85.00, 38.00, 0.000000
657.00, 86.00, 38.00, 0.000000
658.00, 87.00, 38.00, 0.000000
659.00, 88.00, 38.00, 0.000000
660.00, 89.00, 38.00, 0.000000
661.00, 90.00, 38.00, 0.000000
662.00, 91.00, 38.00, 0.000000
663.00, 92.00, 38.00, 0.000000
664.00, 93.00, 38.00, 0.000000
665.00, 94.00, 38.00, 0.000000
666.00, 95.00, 38.00, 1.570796
667.00, 95.00, 39.00, 1.570796
668.00, 95.00, 40.00, 1.570796
669.00, 95.00, 41.00, 1.570796
670.00, 95.00, 42.00, 1.570796
671.00, 95.00, 43.00, 1.570796
672.00, 95.00, 43.00, 3.141593
673.00, 94.00, 43.00, 3.141593
674.00, 93.00, 43.00, 3.141593
675.00, 92.00, 43.00, 3.141593
676.00, 91.00, 43.00, 3.141593
677.00, 90.00, 43.00, 3.141593
678.00, 89.00, 43.00, 3.141593
679.00, 88.00, 43.00, 3.141593
680.00, 87.00, 43.00, 3.141593
681.00, 86.00, 43.00, 3.141593
682.00, 85.00, 43.00, 3.141593
683.00, 84.00, 43.00, 3.141593
684.00, 83.00, 43.00, 3.141593
685.00, 82.00, 43.00, 3.141593
686.00, 81.00, 43.00, 3.141593
687.00, 80.00, 43.00, 3.141593
688.00, 79.00, 43.00, 3.141593
689.00, 78.00, 43.00, 3.141593
690.00, 77.00, 43.00, 3.141593
691.00, 76.00, 43.00, 3.141593
692.00, 75.00, 43.00, 3.141593
693.00, 74.00, 43.00, 3.141593
694.00, 73.00, 43.00, 3.141593
695.00, 72.00, 43.00, 3.141593
