# xMin,xMax,yMin,yMax,zMin,zMax,Type,Wall
44.0,46.0,44.0,46.0,0,1.8,2,0
44.0,46.0,48.0,50.0,0,1.8,2,0
44.0,46.0,52.0,54.0,0,1.8,2,0
44.0,46.0,56.0,58.0,0,1.8,2,0
44.0,46.0,60.0,62.0,0,1.8,2,0
44.0,46.0,64.0,66.0,0,1.8,2,0
49.0,51.0,24.0,26.0,0,1.8,2,0
49.0,51.0,28.0,30.0,0,1.8,2,0
49.0,51.0,32.0,34.0,0,1.8,2,0
49.0,51.0,36.0,38.0,0,1.8,2,0
49.0,51.0,40.0,42.0,0,1.8,2,0
49.0,51.0,44.0,46.0,0,1.8,2,0
49.0,51.0,48.0,50.0,0,1.8,2,0
49.0,51.0,52.0,54.0,0,1.8,2,0
49.0,51.0,56.0,58.0,0,1.8,2,0
49.0,51.0,60.0,62.0,0,1.8,2,0
49.0,51.0,64.0,66.0,0,1.8,2,0
54.0,56.0,24.0,26.0,0,1.8,2,0
54.0,56.0,28.0,30.0,0,1.8,2,0
54.0,56.0,32.0,34.0,0,1.8,2,0
54.0,56.0,36.0,38.0,0,1.8,2,0
54.0,56.0,40.0,42.0,0,1.8,2,0
54.0,56.0,44.0,46.0,0,1.8,2,0
54.0,56.0,48.0,50.0,0,1.8,2,0
54.0,56.0,52.0,54.0,0,1.8,2,0
54.0,56.0,56.0,58.0,0,1.8,2,0
54.0,56.0,60.0,62.0,0,1.8,2,0
54.0,56.0,64.0,66.0,0,1.8,2,0
59.0,61.0,24.0,26.0,0,1.8,2,0
59.0,61.0,28.0,30.0,0,1.8,2,0
59.0,61.0,32.0,34.0,0,1.8,2,0
59.0,61.0,36.0,38.0,0,1.8,2,0
59.0,61.0,40.0,42.0,0,1.8,2,0
59.0,61.0,44.0,46.0,0,1.8,2,0
59.0,61.0,48.0,50.0,0,1.8,2,0
59.0,61.0,52.0,54.0,0,1.8,2,0
59.0,61.0,56.0,58.0,0,1.8,2,0
59.0,61.0,60.0,62.0,0,1.8,2,0
59.0,61.0,64.0,66.0,0,1.8,2,0
64.0,66.0,24.0,26.0,0,1.8,2,0
64.0,66.0,28.0,30.0,0,1.8,2,0
64.0,66.0,32.0,34.0,0,1.8,2,0
64.0,66.0,36.0,38.0,0,1.8,2,0
64.0,66.0,40.0,42.0,0,1.8,2,0
64.0,66.0,44.0,46.0,0,1.8,2,0
64.0,66.0,48.0,50.0,0,1.8,2,0
64.0,66.0,52.0,54.0,0,1.8,2,0
64.0,66.0,56.0,58.0,0,1.8,2,0
64.0,66.0,60.0,62.0,0,1.8,2,0
64.0,66.0,64.0,66.0,0,1.8,2,0
69.0,71.0,24.0,26.0,0,1.8,2,0
69.0,71.0,28.0,30.0,0,1.8,2,0
69.0,71.0,32.0,34.0,0,1.8,2,0
69.0,71.0,36.0,38.0,0,1.8,2,0
69.0,71.0,40.0,42.0,0,1.8,2,0
69.0,71.0,44.0,46.0,0,1.8,2,0
69.0,71.0,48.0,50.0,0,1.8,2,0
69.0,71.0,52.0,54.0,0,1.8,2,0
69.0,71.0,56.0,58.0,0,1.8,2,0
69.0,71.0,60.0,62.0,0,1.8,2,0
69.0,71.0,64.0,66.0,0,1.8,2,0
74.0,76.0,24.0,26.0,0,1.8,2,0
74.0,76.0,28.0,30.0,0,1.8,2,0
74.0,76.0,32.0,34.0,0,1.8,2,0
74.0,76.0,36.0,38.0,0,1.8,2,0
74.0,76.0,40.0,42.0,0,1.8,2,0
74.0,76.0,44.0,46.0,0,1.8,2,0
74.0,76.0,48.0,50.0,0,1.8,2,0
74.0,76.0,52.0,54.0,0,1.8,2,0
74.0,76.0,56.0,58.0,0,1.8,2,0
74.0,76.0,60.0,62.0,0,1.8,2,0
74.0,76.0,64.0,66.0,0,1.8,2,0
