# Tiempo(s), X(m), Y(m), Z(m)
193.0, 6.0, 18.0, 0.25
194.0, 7.0, 18.0, 0.25
195.0, 8.0, 18.0, 0.25
196.0, 9.0, 18.0, 0.25
197.0, 10.0, 18.0, 0.25
198.0, 11.0, 18.0, 0.25
199.0, 12.0, 18.0, 0.25
200.0, 13.0, 18.0, 0.25
201.0, 14.0, 18.0, 0.25
202.0, 15.0, 18.0, 0.25
203.0, 16.0, 18.0, 0.25
204.0, 17.0, 18.0, 0.25
205.0, 18.0, 18.0, 0.25
206.0, 19.0, 18.0, 0.25
207.0, 20.0, 18.0, 0.25
208.0, 21.0, 18.0, 0.25
209.0, 22.0, 18.0, 0.25
210.0, 23.0, 18.0, 0.25
211.0, 24.0, 18.0, 0.25
212.0, 25.0, 18.0, 0.25
213.0, 26.0, 18.0, 0.25
214.0, 27.0, 18.0, 0.25
215.0, 28.0, 18.0, 0.25
216.0, 29.0, 18.0, 0.25
217.0, 30.0, 18.0, 0.25
218.0, 31.0, 18.0, 0.25
219.0, 32.0, 18.0, 0.25
220.0, 33.0, 18.0, 0.25
221.0, 34.0, 18.0, 0.25
222.0, 35.0, 18.0, 0.25
223.0, 36.0, 18.0, 0.25
224.0, 37.0, 18.0, 0.25
225.0, 38.0, 18.0, 0.25
226.0, 39.0, 18.0, 0.25
227.0, 40.0, 18.0, 0.25
228.0, 41.0, 18.0, 0.25
229.0, 42.0, 18.0, 0.25
230.0, 43.0, 18.0, 0.25
231.0, 44.0, 18.0, 0.25
232.0, 45.0, 18.0, 0.25
233.0, 46.0, 18.0, 0.25
234.0, 47.0, 18.0, 0.25
235.0, 48.0, 18.0, 0.25
236.0, 49.0, 18.0, 0.25
237.0, 50.0, 18.0, 0.25
238.0, 51.0, 18.0, 0.25
239.0, 52.0, 18.0, 0.25
240.0, 53.0, 18.0, 0.25
241.0, 54.0, 18.0, 0.25
242.0, 55.0, 18.0, 0.25
243.0, 56.0, 18.0, 0.25
244.0, 57.0, 18.0, 0.25
245.0, 58.0, 18.0, 0.25
246.0, 59.0, 18.0, 0.25
247.0, 60.0, 18.0, 0.25
248.0, 61.0, 18.0, 0.25
249.0, 62.0, 18.0, 0.25
250.0, 63.0, 18.0, 0.25
251.0, 64.0, 18.0, 0.25
252.0, 65.0, 18.0, 0.25
253.0, 66.0, 18.0, 0.25
254.0, 67.0, 18.0, 0.25
255.0, 68.0, 18.0, 0.25
256.0, 69.0, 18.0, 0.25
257.0, 70.0, 18.0, 0.25
258.0, 71.0, 18.0, 0.25
259.0, 72.0, 18.0, 0.25
260.0, 73.0, 18.0, 0.25
261.0, 74.0, 18.0, 0.25
262.0, 75.0, 18.0, 0.25
263.0, 76.0, 18.0, 0.25
264.0, 77.0, 18.0, 0.25
265.0, 78.0, 18.0, 0.25
266.0, 79.0, 18.0, 0.25
267.0, 80.0, 18.0, 0.25
268.0, 81.0, 18.0, 0.25
269.0, 82.0, 18.0, 0.25
270.0, 83.0, 18.0, 0.25
271.0, 84.0, 18.0, 0.25
272.0, 85.0, 18.0, 0.25
273.0, 86.0, 18.0, 0.25
274.0, 87.0, 18.0, 0.25
275.0, 88.0, 18.0, 0.25
276.0, 89.0, 18.0, 0.25
277.0, 90.0, 18.0, 0.25
278.0, 91.0, 18.0, 0.25
279.0, 92.0, 18.0, 0.25
280.0, 93.0, 18.0, 0.25
281.0, 94.0, 18.0, 0.25
282.0, 95.0, 18.0, 0.25
283.0, 95.0, 19.0, 0.25
284.0, 95.0, 20.0, 0.25
285.0, 95.0, 21.0, 0.25
286.0, 95.0, 22.0, 0.25
287.0, 95.0, 23.0, 0.25
288.0, 95.0, 23.0, 0.25
289.0, 94.0, 23.0, 0.25
290.0, 93.0, 23.0, 0.25
291.0, 92.0, 23.0, 0.25
292.0, 91.0, 23.0, 0.25
293.0, 90.0, 23.0, 0.25
294.0, 89.0, 23.0, 0.25
295.0, 88.0, 23.0, 0.25
296.0, 87.0, 23.0, 0.25
297.0, 86.0, 23.0, 0.25
298.0, 85.0, 23.0, 0.25
299.0, 84.0, 23.0, 0.25
300.0, 83.0, 23.0, 0.25
301.0, 82.0, 23.0, 0.25
302.0, 81.0, 23.0, 0.25
303.0, 80.0, 23.0, 0.25
304.0, 79.0, 23.0, 0.25
305.0, 78.0, 23.0, 0.25
306.0, 77.0, 23.0, 0.25
307.0, 76.0, 23.0, 0.25
308.0, 75.0, 23.0, 0.25
309.0, 74.0, 23.0, 0.25
310.0, 73.0, 23.0, 0.25
311.0, 72.0, 23.0, 0.25
312.0, 71.0, 23.0, 0.25
313.0, 70.0, 23.0, 0.25
314.0, 69.0, 23.0, 0.25
315.0, 68.0, 23.0, 0.25
316.0, 67.0, 23.0, 0.25
317.0, 66.0, 23.0, 0.25
318.0, 65.0, 23.0, 0.25
319.0, 64.0, 23.0, 0.25
320.0, 63.0, 23.0, 0.25
321.0, 62.0, 23.0, 0.25
322.0, 61.0, 23.0, 0.25
323.0, 60.0, 23.0, 0.25
324.0, 59.0, 23.0, 0.25
325.0, 58.0, 23.0, 0.25
326.0, 57.0, 23.0, 0.25
327.0, 56.0, 23.0, 0.25
328.0, 55.0, 23.0, 0.25
329.0, 54.0, 23.0, 0.25
330.0, 53.0, 23.0, 0.25
331.0, 52.0, 23.0, 0.25
332.0, 51.0, 23.0, 0.25
333.0, 50.0, 23.0, 0.25
334.0, 49.0, 23.0, 0.25
335.0, 48.0, 23.0, 0.25
336.0, 47.0, 23.0, 0.25
337.0, 46.0, 23.0, 0.25
338.0, 45.0, 23.0, 0.25
339.0, 44.0, 23.0, 0.25
340.0, 43.0, 23.0, 0.25
341.0, 42.0, 23.0, 0.25
342.0, 41.0, 23.0, 0.25
343.0, 40.0, 23.0, 0.25
344.0, 39.0, 23.0, 0.25
345.0, 38.0, 23.0, 0.25
346.0, 37.0, 23.0, 0.25
347.0, 36.0, 23.0, 0.25
348.0, 35.0, 23.0, 0.25
349.0, 34.0, 23.0, 0.25
350.0, 33.0, 23.0, 0.25
351.0, 32.0, 23.0, 0.25
352.0, 31.0, 23.0, 0.25
353.0, 30.0, 23.0, 0.25
354.0, 29.0, 23.0, 0.25
355.0, 28.0, 23.0, 0.25
356.0, 27.0, 23.0, 0.25
357.0, 26.0, 23.0, 0.25
358.0, 25.0, 23.0, 0.25
359.0, 24.0, 23.0, 0.25
360.0, 23.0, 23.0, 0.25
361.0, 22.0, 23.0, 0.25
362.0, 21.0, 23.0, 0.25
363.0, 20.0, 23.0, 0.25
364.0, 19.0, 23.0, 0.25
365.0, 18.0, 23.0, 0.25
366.0, 17.0, 23.0, 0.25
367.0, 16.0, 23.0, 0.25
368.0, 15.0, 23.0, 0.25
369.0, 14.0, 23.0, 0.25
370.0, 13.0, 23.0, 0.25
371.0, 12.0, 23.0, 0.25
372.0, 11.0, 23.0, 0.25
373.0, 10.0, 23.0, 0.25
374.0, 9.0, 23.0, 0.25
375.0, 8.0, 23.0, 0.25
376.0, 7.0, 23.0, 0.25
377.0, 6.0, 23.0, 0.25
378.0, 5.0, 23.0, 0.25
379.0, 5.0, 24.0, 0.25
380.0, 5.0, 25.0, 0.25
381.0, 5.0, 26.0, 0.25
382.0, 5.0, 27.0, 0.25
383.0, 5.0, 28.0, 0.25
384.0, 5.0, 28.0, 0.25
385.0, 6.0, 28.0, 0.25
386.0, 7.0, 28.0, 0.25
387.0, 8.0, 28.0, 0.25
388.0, 9.0, 28.0, 0.25
389.0, 10.0, 28.0, 0.25
390.0, 11.0, 28.0, 0.25
391.0, 12.0, 28.0, 0.25
392.0, 13.0, 28.0, 0.25
393.0, 14.0, 28.0, 0.25
394.0, 15.0, 28.0, 0.25
395.0, 16.0, 28.0, 0.25
396.0, 17.0, 28.0, 0.25
397.0, 18.0, 28.0, 0.25
398.0, 19.0, 28.0, 0.25
399.0, 20.0, 28.0, 0.25
400.0, 21.0, 28.0, 0.25
401.0, 22.0, 28.0, 0.25
402.0, 23.0, 28.0, 0.25
403.0, 24.0, 28.0, 0.25
404.0, 25.0, 28.0, 0.25
405.0, 26.0, 28.0, 0.25
406.0, 27.0, 28.0, 0.25
407.0, 28.0, 28.0, 0.25
408.0, 29.0, 28.0, 0.25
409.0, 30.0, 28.0, 0.25
410.0, 31.0, 28.0, 0.25
411.0, 32.0, 28.0, 0.25
412.0, 33.0, 28.0, 0.25
413.0, 34.0, 28.0, 0.25
414.0, 35.0, 28.0, 0.25
415.0, 36.0, 28.0, 0.25
416.0, 37.0, 28.0, 0.25
417.0, 38.0, 28.0, 0.25
418.0, 39.0, 28.0, 0.25
419.0, 40.0, 28.0, 0.25
420.0, 41.0, 28.0, 0.25
421.0, 42.0, 28.0, 0.25
422.0, 43.0, 28.0, 0.25
423.0, 44.0, 28.0, 0.25
424.0, 45.0, 28.0, 0.25
425.0, 46.0, 28.0, 0.25
426.0, 47.0, 28.0, 0.25
427.0, 48.0, 28.0, 0.25
428.0, 49.0, 28.0, 0.25
429.0, 50.0, 28.0, 0.25
430.0, 51.0, 28.0, 0.25
431.0, 52.0, 28.0, 0.25
432.0, 53.0, 28.0, 0.25
433.0, 54.0, 28.0, 0.25
434.0, 55.0, 28.0, 0.25
435.0, 56.0, 28.0, 0.25
436.0, 57.0, 28.0, 0.25
437.0, 58.0, 28.0, 0.25
438.0, 59.0, 28.0, 0.25
439.0, 60.0, 28.0, 0.25
440.0, 61.0, 28.0, 0.25
441.0, 62.0, 28.0, 0.25
442.0, 63.0, 28.0, 0.25
443.0, 64.0, 28.0, 0.25
444.0, 65.0, 28.0, 0.25
445.0, 66.0, 28.0, 0.25
446.0, 67.0, 28.0, 0.25
447.0, 68.0, 28.0, 0.25
448.0, 69.0, 28.0, 0.25
449.0, 70.0, 28.0, 0.25
450.0, 71.0, 28.0, 0.25
451.0, 72.0, 28.0, 0.25
452.0, 73.0, 28.0, 0.25
453.0, 74.0, 28.0, 0.25
454.0, 75.0, 28.0, 0.25
455.0, 76.0, 28.0, 0.25
456.0, 77.0, 28.0, 0.25
457.0, 78.0, 28.0, 0.25
458.0, 79.0, 28.0, 0.25
459.0, 80.0, 28.0, 0.25
460.0, 81.0, 28.0, 0.25
461.0, 82.0, 28.0, 0.25
462.0, 83.0, 28.0, 0.25
463.0, 84.0, 28.0, 0.25
464.0, 85.0, 28.0, 0.25
465.0, 86.0, 28.0, 0.25
466.0, 87.0, 28.0, 0.25
467.0, 88.0, 28.0, 0.25
468.0, 89.0, 28.0, 0.25
469.0, 90.0, 28.0, 0.25
470.0, 91.0, 28.0, 0.25
471.0, 92.0, 28.0, 0.25
472.0, 93.0, 28.0, 0.25
473.0, 94.0, 28.0, 0.25
474.0, 95.0, 28.0, 0.25
475.0, 95.0, 29.0, 0.25
476.0, 95.0, 30.0, 0.25
477.0, 95.0, 31.0, 0.25
478.0, 95.0, 32.0, 0.25
479.0, 95.0, 33.0, 0.25
480.0, 95.0, 33.0, 0.25
481.0, 94.0, 33.0, 0.25
482.0, 93.0, 33.0, 0.25
483.0, 92.0, 33.0, 0.25
484.0, 91.0, 33.0, 0.25
485.0, 90.0, 33.0, 0.25
486.0, 89.0, 33.0, 0.25
487.0, 88.0, 33.0, 0.25
488.0, 87.0, 33.0, 0.25
489.0, 86.0, 33.0, 0.25
490.0, 85.0, 33.0, 0.25
491.0, 84.0, 33.0, 0.25
492.0, 83.0, 33.0, 0.25
493.0, 82.0, 33.0, 0.25
494.0, 81.0, 33.0, 0.25
495.0, 80.0, 33.0, 0.25
496.0, 79.0, 33.0, 0.25
497.0, 78.0, 33.0, 0.25
498.0, 77.0, 33.0, 0.25
499.0, 76.0, 33.0, 0.25
500.0, 75.0, 33.0, 0.25
501.0, 74.0, 33.0, 0.25
502.0, 73.0, 33.0, 0.25
503.0, 72.0, 33.0, 0.25
504.0, 71.0, 33.0, 0.25
505.0, 70.0, 33.0, 0.25
506.0, 69.0, 33.0, 0.25
507.0, 68.0, 33.0, 0.25
508.0, 67.0, 33.0, 0.25
509.0, 66.0, 33.0, 0.25
510.0, 65.0, 33.0, 0.25
511.0, 64.0, 33.0, 0.25
512.0, 63.0, 33.0, 0.25
513.0, 62.0, 33.0, 0.25
514.0, 61.0, 33.0, 0.25
515.0, 60.0, 33.0, 0.25
516.0, 59.0, 33.0, 0.25
517.0, 58.0, 33.0, 0.25
518.0, 57.0, 33.0, 0.25
519.0, 56.0, 33.0, 0.25
520.0, 55.0, 33.0, 0.25
521.0, 54.0, 33.0, 0.25
522.0, 53.0, 33.0, 0.25
523.0, 52.0, 33.0, 0.25
524.0, 51.0, 33.0, 0.25
525.0, 50.0, 33.0, 0.25
526.0, 49.0, 33.0, 0.25
527.0, 48.0, 33.0, 0.25
528.0, 47.0, 33.0, 0.25
529.0, 46.0, 33.0, 0.25
530.0, 45.0, 33.0, 0.25
531.0, 44.0, 33.0, 0.25
532.0, 43.0, 33.0, 0.25
533.0, 42.0, 33.0, 0.25
534.0, 41.0, 33.0, 0.25
535.0, 40.0, 33.0, 0.25
536.0, 39.0, 33.0, 0.25
537.0, 38.0, 33.0, 0.25
538.0, 37.0, 33.0, 0.25
539.0, 36.0, 33.0, 0.25
540.0, 35.0, 33.0, 0.25
541.0, 34.0, 33.0, 0.25
542.0, 33.0, 33.0, 0.25
543.0, 32.0, 33.0, 0.25
544.0, 31.0, 33.0, 0.25
545.0, 30.0, 33.0, 0.25
546.0, 29.0, 33.0, 0.25
547.0, 28.0, 33.0, 0.25
548.0, 27.0, 33.0, 0.25
549.0, 26.0, 33.0, 0.25
550.0, 25.0, 33.0, 0.25
551.0, 24.0, 33.0, 0.25
552.0, 23.0, 33.0, 0.25
553.0, 22.0, 33.0, 0.25
554.0, 21.0, 33.0, 0.25
555.0, 20.0, 33.0, 0.25
556.0, 19.0, 33.0, 0.25
557.0, 18.0, 33.0, 0.25
558.0, 17.0, 33.0, 0.25
559.0, 16.0, 33.0, 0.25
560.0, 15.0, 33.0, 0.25
561.0, 14.0, 33.0, 0.25
562.0, 13.0, 33.0, 0.25
563.0, 12.0, 33.0, 0.25
564.0, 11.0, 33.0, 0.25
565.0, 10.0, 33.0, 0.25
566.0, 9.0, 33.0, 0.25
567.0, 8.0, 33.0, 0.25
568.0, 7.0, 33.0, 0.25
569.0, 6.0, 33.0, 0.25
570.0, 5.0, 33.0, 0.25
571.0, 5.0, 34.0, 0.25
572.0, 5.0, 35.0, 0.25
573.0, 5.0, 36.0, 0.25
574.0, 5.0, 37.0, 0.25
575.0, 5.0, 38.0, 0.25
576.0, 5.0, 38.0, 0.25
577.0, 6.0, 38.0, 0.25
578.0, 7.0, 38.0, 0.25
579.0, 8.0, 38.0, 0.25
580.0, 9.0, 38.0, 0.25
581.0, 10.0, 38.0, 0.25
582.0, 11.0, 38.0, 0.25
583.0, 12.0, 38.0, 0.25
584.0, 13.0, 38.0, 0.25
585.0, 14.0, 38.0, 0.25
586.0, 15.0, 38.0, 0.25
587.0, 16.0, 38.0, 0.25
588.0, 17.0, 38.0, 0.25
589.0, 18.0, 38.0, 0.25
590.0, 19.0, 38.0, 0.25
591.0, 20.0, 38.0, 0.25
592.0, 21.0, 38.0, 0.25
593.0, 22.0, 38.0, 0.25
594.0, 23.0, 38.0, 0.25
595.0, 24.0, 38.0, 0.25
596.0, 25.0, 38.0, 0.25
597.0, 26.0, 38.0, 0.25
598.0, 27.0, 38.0, 0.25
599.0, 28.0, 38.0, 0.25
600.0, 29.0, 38.0, 0.25
601.0, 30.0, 38.0, 0.25
602.0, 31.0, 38.0, 0.25
603.0, 32.0, 38.0, 0.25
604.0, 33.0, 38.0, 0.25
605.0, 34.0, 38.0, 0.25
606.0, 35.0, 38.0, 0.25
607.0, 36.0, 38.0, 0.25
608.0, 37.0, 38.0, 0.25
609.0, 38.0, 38.0, 0.25
610.0, 39.0, 38.0, 0.25
611.0, 40.0, 38.0, 0.25
612.0, 41.0, 38.0, 0.25
613.0, 42.0, 38.0, 0.25
614.0, 43.0, 38.0, 0.25
615.0, 44.0, 38.0, 0.25
616.0, 45.0, 38.0, 0.25
617.0, 46.0, 38.0, 0.25
618.0, 47.0, 38.0, 0.25
619.0, 48.0, 38.0, 0.25
620.0, 49.0, 38.0, 0.25
621.0, 50.0, 38.0, 0.25
622.0, 51.0, 38.0, 0.25
623.0, 52.0, 38.0, 0.25
624.0, 53.0, 38.0, 0.25
625.0, 54.0, 38.0, 0.25
626.0, 55.0, 38.0, 0.25
627.0, 56.0, 38.0, 0.25
628.0, 57.0, 38.0, 0.25
629.0, 58.0, 38.0, 0.25
630.0, 59.0, 38.0, 0.25
631.0, 60.0, 38.0, 0.25
632.0, 61.0, 38.0, 0.25
633.0, 62.0, 38.0, 0.25
634.0, 63.0, 38.0, 0.25
635.0, 64.0, 38.0, 0.25
636.0, 65.0, 38.0, 0.25
637.0, 66.0, 38.0, 0.25
638.0, 67.0, 38.0, 0.25
639.0, 68.0, 38.0, 0.25
640.0, 69.0, 38.0, 0.25
641.0, 70.0, 38.0, 0.25
642.0, 71.0, 38.0, 0.25
643.0, 72.0, 38.0, 0.25
644.0, 73.0, 38.0, 0.25
645.0, 74.0, 38.0, 0.25
646.0, 75.0, 38.0, 0.25
647.0, 76.0, 38.0, 0.25
648.0, 77.0, 38.0, 0.25
649.0, 78.0, 38.0, 0.25
650.0, 79.0, 38.0, 0.25
651.0, 80.0, 38.0, 0.25
652.0, 81.0, 38.0, 0.25
653.0, 82.0, 38.0, 0.25
654.0, 83.0, 38.0, 0.25
655.0, 84.0, 38.0, 0.25
656.0, 85.0, 38.0, 0.25
657.0, 86.0, 38.0, 0.25
658.0, 87.0, 38.0, 0.25
659.0, 88.0, 38.0, 0.25
660.0, 89.0, 38.0, 0.25
661.0, 90.0, 38.0, 0.25
662.0, 91.0, 38.0, 0.25
663.0, 92.0, 38.0, 0.25
664.0, 93.0, 38.0, 0.25
665.0, 94.0, 38.0, 0.25
666.0, 95.0, 38.0, 0.25
667.0, 95.0, 39.0, 0.25
668.0, 95.0, 40.0, 0.25
669.0, 95.0, 41.0, 0.25
670.0, 95.0, 42.0, 0.25
671.0, 95.0, 43.0, 0.25
672.0, 95.0, 43.0, 0.25
673.0, 94.0, 43.0, 0.25
674.0, 93.0, 43.0, 0.25
675.0, 92.0, 43.0, 0.25
676.0, 91.0, 43.0, 0.25
677.0, 90.0, 43.0, 0.25
678.0, 89.0, 43.0, 0.25
679.0, 88.0, 43.0, 0.25
680.0, 87.0, 43.0, 0.25
681.0, 86.0, 43.0, 0.25
682.0, 85.0, 43.0, 0.25
683.0, 84.0, 43.0, 0.25
684.0, 83.0, 43.0, 0.25
685.0, 82.0, 43.0, 0.25
686.0, 81.0, 43.0, 0.25
687.0, 80.0, 43.0, 0.25
688.0, 79.0, 43.0, 0.25
689.0, 78.0, 43.0, 0.25
690.0, 77.0, 43.0, 0.25
691.0, 76.0, 43.0, 0.25
692.0, 75.0, 43.0, 0.25
693.0, 74.0, 43.0, 0.25
694.0, 73.0, 43.0, 0.25
695.0, 72.0, 43.0, 0.25
696.0, 71.0, 43.0, 0.25
697.0, 70.0, 43.0, 0.25
698.0, 69.0, 43.0, 0.25
699.0, 68.0, 43.0, 0.25
700.0, 67.0, 43.0, 0.25
701.0, 66.0, 43.0, 0.25
702.0, 65.0, 43.0, 0.25
703.0, 64.0, 43.0, 0.25
704.0, 63.0, 43.0, 0.25
705.0, 62.0, 43.0, 0.25
706.0, 61.0, 43.0, 0.25
707.0, 60.0, 43.0, 0.25
708.0, 59.0, 43.0, 0.25
709.0, 58.0, 43.0, 0.25
710.0, 57.0, 43.0, 0.25
711.0, 56.0, 43.0, 0.25
712.0, 55.0, 43.0, 0.25
713.0, 54.0, 43.0, 0.25
714.0, 53.0, 43.0, 0.25
715.0, 52.0, 43.0, 0.25
716.0, 51.0, 43.0, 0.25
717.0, 50.0, 43.0, 0.25
718.0, 49.0, 43.0, 0.25
719.0, 48.0, 43.0, 0.25
720.0, 47.0, 43.0, 0.25
721.0, 46.0, 43.0, 0.25
722.0, 45.0, 43.0, 0.25
723.0, 44.0, 43.0, 0.25
724.0, 43.0, 43.0, 0.25
725.0, 42.0, 43.0, 0.25
726.0, 41.0, 43.0, 0.25
727.0, 40.0, 43.0, 0.25
728.0, 39.0, 43.0, 0.25
729.0, 38.0, 43.0, 0.25
730.0, 37.0, 43.0, 0.25
731.0, 36.0, 43.0, 0.25
732.0, 35.0, 43.0, 0.25
733.0, 34.0, 43.0, 0.25
